                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0524,                0.87548,                 1.0828,                0.87842,                0.90531,                0.93544,                0.69817,                 0.9189,                0.52231,                 1.0247,             0.00016817,             0.00016817,             0.00016817
                     77,                 1.0536,                0.87812,                 1.0848,                0.86795,                0.91875,                0.93765,                0.69781,                0.91905,                0.52112,                 1.0248,             0.00016597,             0.00016597,             0.00016597
                     78,                  1.044,                0.86746,                 1.0804,                0.85875,                0.93168,                0.94287,                0.69941,                0.92345,                0.51995,                 1.0262,             0.00016377,             0.00016377,             0.00016377
                     79,                 1.0398,                0.87231,                 1.0777,                0.88394,                0.89832,                 0.9402,                0.70077,                0.91943,                0.51476,                 1.0232,             0.00016157,             0.00016157,             0.00016157
                     80,                 1.0432,                0.86702,                 1.0744,                0.87772,                0.90972,                0.94123,                0.70521,                0.91081,                0.51313,                 1.0214,             0.00015937,             0.00015937,             0.00015937
                     81,                  1.039,                0.86469,                  1.074,                0.86982,                0.91925,                0.93911,                0.70036,                0.91606,                0.51803,                 1.0222,             0.00015718,             0.00015718,             0.00015718
                     82,                 1.0414,                 0.8651,                 1.0761,                0.88257,                 0.8962,                0.93522,                0.69999,                0.91503,                0.51501,                 1.0219,             0.00015498,             0.00015498,             0.00015498
                     83,                 1.0311,                0.85264,                 1.0722,                0.87475,                0.92408,                 0.9411,                0.70249,                0.91597,                0.51355,                 1.0219,             0.00015278,             0.00015278,             0.00015278
                     84,                 1.0335,                 0.8556,                 1.0716,                0.87714,                0.92275,                0.93939,                0.69776,                0.91645,                0.50896,                 1.0214,             0.00015058,             0.00015058,             0.00015058
                     85,                 1.0281,                0.84705,                 1.0714,                0.87258,                0.93074,                0.94314,                0.70455,                0.91182,                0.50582,                 1.0183,             0.00014838,             0.00014838,             0.00014838
                     86,                  1.028,                0.85294,                 1.0706,                0.87439,                0.91912,                0.94069,                0.69941,                0.91779,                0.51132,                 1.0213,             0.00014619,             0.00014619,             0.00014619
                     87,                 1.0281,                0.84335,                 1.0685,                0.86167,                0.93468,                0.94023,                0.70064,                0.91261,                0.50579,                  1.021,             0.00014399,             0.00014399,             0.00014399
                     88,                 1.0299,                0.84599,                 1.0722,                0.87917,                0.91573,                 0.9422,                0.70408,                0.91056,                0.50659,                 1.0189,             0.00014179,             0.00014179,             0.00014179
                     89,                 1.0241,                0.84406,                 1.0674,                0.88995,                0.91517,                0.94653,                0.70935,                0.90678,                0.50158,                 1.0169,             0.00013959,             0.00013959,             0.00013959
                     90,                 1.0167,                0.82865,                 1.0653,                0.88346,                 0.9152,                0.94407,                0.70589,                0.90535,                0.50189,                 1.0163,              0.0001374,              0.0001374,              0.0001374
                     91,                 1.0231,                0.83351,                 1.0629,                0.86996,                0.93198,                0.94547,                0.70558,                0.91031,                0.50347,                 1.0167,              0.0001352,              0.0001352,              0.0001352
                     92,                 1.0158,                0.83067,                 1.0639,                0.88046,                0.92381,                0.94664,                 0.7076,                0.90938,                0.49998,                 1.0163,               0.000133,               0.000133,               0.000133
